All Code Smell Rules:
Total: 477

typescript:S6853              : 84
typescript:S6759              : 42
typescript:S7773              : 40
typescript:S7764              : 37
typescript:S7728              : 37
typescript:S6479              : 31
typescript:S3863              : 20
typescript:S6772              : 17
typescript:S7781              : 13
typescript:S1874              : 13
typescript:S6848              : 11
typescript:S3776              : 10
typescript:S7735              : 10
typescript:S6819              : 10
typescript:S6594              : 9
typescript:S6582              : 9
typescript:S1135              : 8
typescript:S6353              : 7
typescript:S7723              : 6
typescript:S6571              : 5
typescript:S7759              : 5
typescript:S1854              : 4
typescript:S4325              : 4
typescript:S7766              : 4
typescript:S2004              : 4
typescript:S6767              : 4
typescript:S2933              : 3
typescript:S4323              : 3
typescript:S7721              : 3
typescript:S6481              : 2
typescript:S4043              : 2
typescript:S6606              : 2
typescript:S4138              : 2
typescript:S6754              : 2
typescript:S3626              : 2
typescript:S2301              : 1
typescript:S4084              : 1
typescript:S7776              : 1
typescript:S4165              : 1
typescript:S7786              : 1
typescript:S125               : 1
typescript:S7762              : 1
css:S7924                     : 1
typescript:S6749              : 1
typescript:S6564              : 1
typescript:S7718              : 1
typescript:S6644              : 1
